180,7515,8718,11550,10409
181,7515,8133,11550,8718
182,6866,7453,11550,8133
183,6866,11550,7515,8133
184,4553,5396,11550,6917
185,5396,7515,11550,10409
186,4553,11550,5396,7515
187,4553,6866,11550,7515
188,4553,11550,6866,7453
189,7452,11550,8133,9178
190,4553,6917,11550,7453
191,7452,11550,7453,8133
192,5998,11550,6917,7452
193,6917,7453,7452,11550
194,6637,11549,9189,11049
195,7465,9189,11549,11049
196,4787,6288,11549,11521
197,4787,11549,6288,8147
198,4787,11549,8702,11521
199,4787,11549,8147,8702
200,4195,8702,11549,11521
201,4195,11549,6288,11521
202,4195,6288,11549,6664
203,4195,11549,6637,6664
204,6637,11549,9186,9189
205,7465,9186,11549,9189
206,7465,11549,10403,11049
207,6288,7465,11549,10403
208,6288,11549,7465,8147
209,6288,11549,6664,10403
210,4195,6637,11549,8702
211,7465,8147,11549,9186
212,6637,11549,8702,9186
213,8147,8702,11549,9186
214,4153,11548,4154,10341
215,3600,4153,11548,4154
216,4153,4708,11548,10341
217,3596,11548,4153,4708
218,4150,11548,4711,10262
219,4150,11548,4152,4711
220,3596,11548,3600,4153
221,3598,3600,11548,4154
222,4154,11548,10262,10341
223,402,3598,11548,4154
224,402,11548,3598,4152
225,4708,4711,11548,10341
226,3596,4711,11548,4708
227,4711,10262,11548,10341
228,3596,11548,4711,5322
229,4152,4711,11548,5322
230,3596,3597,11548,5322
231,3597,4152,11548,5322
232,3596,3600,11548,3598
233,3597,3598,11548,4152
234,3596,3598,11548,3597
235,3162,4024,11547,10340
236,3119,11547,3162,4024
237,4024,4630,11547,10340
238,3119,11547,4024,4630
239,3053,11547,3162,3119
240,3162,11547,3204,10340
241,3053,3204,3162,11547
242,3110,3204,11547,4025
243,3053,11547,3110,3204
244,3110,11547,3966,4025
245,3053,3110,11547,3966
246,3204,11547,4025,10340
247,3053,3966,11547,4630
248,3966,4025,11547,4630
249,4025,11547,4630,10340
250,2958,11546,4169,10239
251,2898,2958,11546,4169
252,4169,11546,5370,10239
253,2898,4169,11546,5370
254,2942,11546,2958,10239
255,2898,2958,2942,11546
256,2898,11546,2989,5370
257,2898,2942,2989,11546
258,2942,2989,11546,4054
259,3175,11545,4598,6099
260,4598,11545,5203,6099
261,3149,11545,3977,10143
262,3977,11545,5203,10143
263,3175,3203,11545,10192
264,3175,3189,11545,3203
265,3175,11545,6099,10192
266,5203,6099,11545,10192
267,3175,11545,3189,4598
268,3149,11545,3206,3977
269,3149,3189,11545,10143
270,3149,11545,3189,3206
271,3189,4598,11545,10143
272,4598,5203,11545,10143
273,3203,3206,11545,10192
274,3189,3206,11545,3203
275,3977,5203,11545,10192
276,3206,3977,11545,10192
277,3964,4012,11544,10090
278,3156,11544,4626,10131
279,3083,11544,3215,4012
280,3215,11544,3964,4012
281,3061,11544,3156,10131
282,3061,3156,11544,3083
283,3061,3215,11544,3964
284,3061,3083,11544,3215
285,3061,3964,11544,10131
286,3788,11543,4453,10024
287,3788,4453,11543,7366
288,5531,11543,5910,10024
289,5531,11543,5533,5910
290,4453,5533,11543,7366
291,4447,8324,11543,9997
292,4447,11543,5533,9997
293,4447,5533,11543,5910
294,5910,11543,8324,10024
295,6971,8324,11543,10024
296,3788,11543,6971,7366
297,6971,11543,8324,9997
298,5533,11543,7366,9997
299,6971,7366,11543,9997
300,1921,11542,5548,10032
301,1897,11542,1921,10032
302,1887,1897,11542,1921
303,1897,3844,11542,10032
304,3844,5548,11542,10032
305,3266,3811,11542,9976
306,3266,3371,11542,3811
307,3811,5548,11542,9976
308,3811,3843,11542,5548
309,1921,11542,3843,5548
310,1887,1921,11542,3843
311,3293,4484,11542,3844
312,1887,11542,1897,3844
313,3371,11542,3811,3843
314,3293,11542,3392,3844
315,3293,3392,11542,3371
316,1887,3371,3843,11542
317,1887,3392,11542,3844
318,5902,11541,6598,10361
319,4472,6598,11541,10361
320,4472,11541,5540,10361
321,5540,11541,5902,10361
322,4472,11541,6598,9934
323,3828,5540,11541,5902
324,3828,11541,5540,9847
325,4472,5540,11541,9847
326,4473,7718,11541,9934
327,3828,11541,4473,9962
328,3828,5902,11541,9962
329,4472,11541,5537,9847
330,3828,5537,11541,9847
331,4472,5537,11541,9934
332,4473,11541,5537,9934
333,3828,4473,11541,5537
334,3519,11540,3587,3765
335,3455,11540,3587,3519
336,111,3455,11540,3587
337,2074,3587,11540,3765
338,111,3587,11540,2074
339,3455,9925,11540,10541
340,2064,3764,11540,9925
341,2064,2070,11540,3764
342,3764,3765,11540,10541
343,3764,11540,9925,10541
344,111,3455,112,11540
345,2070,2074,11540,3765
346,111,11540,2070,2074
347,112,2064,11540,9925
348,112,11540,2064,2070
349,112,11540,3455,9925
350,2070,11540,3764,3765
351,111,11540,112,2070
352,3666,11539,5622,7783
353,4379,5622,11539,7783
354,4379,11539,5622,9942
355,3666,11539,7783,9856
356,4379,7783,11539,9856
357,3481,11539,3576,9942
358,3481,3576,11539,3521
359,3521,4379,11539,9856
360,3481,5622,11539,9942
361,3481,3666,11539,5622
362,3425,3521,11539,9856
363,3425,11539,3521,3481
364,3425,11539,3666,9856
365,6503,7136,11538,9832
366,5001,11538,6503,7136
367,199,208,11538,5001
368,199,11538,209,6503
